"BA Code","Timestamp (Hour Ending)","Demand (MWh)","Demand Forecast (MWh)","Net Generation (MWh)","Total Interchange (MWh)"
HST,"7/12/2020 9 a.m. EDT",57,65,0,-57
HST,"7/12/2020 10 a.m. EDT",67,72,0,-67
HST,"7/12/2020 11 a.m. EDT",79,78,0,-79
HST,"7/12/2020 12 p.m. EDT",84,78,0,-84
HST,"7/12/2020 1 p.m. EDT",79,81,0,-79
HST,"7/12/2020 2 p.m. EDT",84,84,0,-84
HST,"7/12/2020 3 p.m. EDT",92,88,0,-92
HST,"7/12/2020 4 p.m. EDT",97,87,0,-97
HST,"7/12/2020 5 p.m. EDT",97,88,0,-97
HST,"7/12/2020 6 p.m. EDT",95,87,0,-95
HST,"7/12/2020 7 p.m. EDT",93,87,0,-93
HST,"7/12/2020 8 p.m. EDT",88,85,0,-88
HST,"7/12/2020 9 p.m. EDT",89,83,0,-89
HST,"7/12/2020 10 p.m. EDT",87,80,0,-87
HST,"7/12/2020 11 p.m. EDT",81,76,0,-81
HST,"7/13/2020 12 a.m. EDT",75,69,0,-75
HST,"7/13/2020 1 a.m. EDT",67,75,0,-67
HST,"7/13/2020 2 a.m. EDT",62,70,0,-62
HST,"7/13/2020 3 a.m. EDT",59,68,0,-59
HST,"7/13/2020 4 a.m. EDT",57,67,0,-57
HST,"7/13/2020 5 a.m. EDT",57,65,0,-57
HST,"7/13/2020 6 a.m. EDT",58,65,0,-58
HST,"7/13/2020 7 a.m. EDT",59,66,0,-59
HST,"7/13/2020 8 a.m. EDT",59,67,0,-59
HST,"7/13/2020 9 a.m. EDT",65,73,0,-65
HST,"7/13/2020 10 a.m. EDT",74,75,0,-74
HST,"7/13/2020 11 a.m. EDT",83,81,0,-83
HST,"7/13/2020 12 p.m. EDT",90,90,0,-90
HST,"7/13/2020 1 p.m. EDT",97,96,0,-97
HST,"7/13/2020 2 p.m. EDT",101,100,0,-101
HST,"7/13/2020 3 p.m. EDT",104,105,0,-104
HST,"7/13/2020 4 p.m. EDT",103,110,0,-103
HST,"7/13/2020 5 p.m. EDT",102,113,0,-102
HST,"7/13/2020 6 p.m. EDT",104,115,0,-104
HST,"7/13/2020 7 p.m. EDT",104,114,0,-104
HST,"7/13/2020 8 p.m. EDT",103,110,0,-103
HST,"7/13/2020 9 p.m. EDT",100,105,0,-100
HST,"7/13/2020 10 p.m. EDT",97,101,0,-97
HST,"7/13/2020 11 p.m. EDT",90,96,0,-90
HST,"7/14/2020 12 a.m. EDT",83,89,0,-83
HST,"7/14/2020 1 a.m. EDT",75,79,0,-75
HST,"7/14/2020 2 a.m. EDT",70,74,0,-70
HST,"7/14/2020 3 a.m. EDT",66,70,0,-66
HST,"7/14/2020 4 a.m. EDT",63,68,0,-63
HST,"7/14/2020 5 a.m. EDT",61,67,0,-61
HST,"7/14/2020 6 a.m. EDT",61,66,0,-61
HST,"7/14/2020 7 a.m. EDT",61,66,0,-61
HST,"7/14/2020 8 a.m. EDT",62,68,0,-62
HST,"7/14/2020 9 a.m. EDT",68,75,0,-68
HST,"7/14/2020 10 a.m. EDT",75,81,0,-75
HST,"7/14/2020 11 a.m. EDT",84,90,0,-84
HST,"7/14/2020 12 p.m. EDT",93,98,0,-93
HST,"7/14/2020 1 p.m. EDT",100,104,0,-100
HST,"7/14/2020 2 p.m. EDT",103,108,0,-103
HST,"7/14/2020 3 p.m. EDT",81,111,0,-81
HST,"7/14/2020 4 p.m. EDT",79,113,0,-79
HST,"7/14/2020 5 p.m. EDT",81,113,0,-81
HST,"7/14/2020 6 p.m. EDT",85,113,0,-85
HST,"7/14/2020 7 p.m. EDT",91,111,0,-91
HST,"7/14/2020 8 p.m. EDT",92,110,0,-92
HST,"7/14/2020 9 p.m. EDT",91,108,0,-91
HST,"7/14/2020 10 p.m. EDT",89,103,0,-89
HST,"7/14/2020 11 p.m. EDT",82,96,0,-82
HST,"7/15/2020 12 a.m. EDT",76,90,0,-76
HST,"7/15/2020 1 a.m. EDT",69,74,0,-69
HST,"7/15/2020 2 a.m. EDT",63,70,0,-63
HST,"7/15/2020 3 a.m. EDT",59,67,0,-59
HST,"7/15/2020 4 a.m. EDT",57,63,0,-57
HST,"7/15/2020 5 a.m. EDT",56,62,0,-56
HST,"7/15/2020 6 a.m. EDT",57,62,0,-57
HST,"7/15/2020 7 a.m. EDT",57,63,0,-57
HST,"7/15/2020 8 a.m. EDT",58,64,0,-58
HST,"7/15/2020 9 a.m. EDT",64,69,0,-64
HST,"7/15/2020 10 a.m. EDT",73,77,0,-73
HST,"7/15/2020 11 a.m. EDT",82,85,0,-82
HST,"7/15/2020 12 p.m. EDT",91,94,2,-89
HST,"7/15/2020 1 p.m. EDT",98,101,0,-98
HST,"7/15/2020 2 p.m. EDT",101,106,0,-101
HST,"7/15/2020 3 p.m. EDT",87,110,0,-87
HST,"7/15/2020 4 p.m. EDT",92,112,0,-92
HST,"7/15/2020 5 p.m. EDT",96,113,0,-96
HST,"7/15/2020 6 p.m. EDT",99,112,0,-99
HST,"7/15/2020 7 p.m. EDT",97,111,0,-97
HST,"7/15/2020 8 p.m. EDT",90,108,0,-90
HST,"7/15/2020 9 p.m. EDT",86,105,0,-86
HST,"7/15/2020 10 p.m. EDT",83,102,0,-83
HST,"7/15/2020 11 p.m. EDT",77,95,0,-77
HST,"7/16/2020 12 a.m. EDT",71,88,0,-71
HST,"7/16/2020 1 a.m. EDT",65,68,0,-65
HST,"7/16/2020 2 a.m. EDT",61,63,0,-61
HST,"7/16/2020 3 a.m. EDT",58,59,0,-58
